ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
809,C,Road,0.0,5,-0.6219512195121951,2.0,low,M,2.0,-0.7758916056688989,1
810,F,Road,-0.5,3,-0.3780487804878049,0.0,low,F,2.0,-0.6129886310543529,1
811,D,Road,0.5,3,0.024390243902439025,0.0,medium,F,-1.0,-0.53418470643202,1
812,F,Road,0.0,1,-0.3902439024390244,0.0,medium,M,2.0,-0.6678087525307584,1
813,A,Road,0.0,5,-0.2804878048780488,0.0,low,F,2.0,-0.547266780875253,1
814,B,Road,-0.5,2,-0.9024390243902439,-1.0,high,F,0.0,-0.8559414421429684,1
815,C,Road,0.0,4,-0.6463414634146342,0.0,high,F,2.0,-0.9294502413954213,1
816,F,Road,0.0,2,-0.17073170731707318,1.0,low,M,2.0,-0.4366921040336396,1
817,D,Road,0.0,1,-0.4634146341463415,0.0,medium,F,2.0,-0.7033172403052484,1
818,F,Flight,0.5,2,0.4024390243902439,0.0,low,M,2.0,-0.1569848933187977,1
819,A,Flight,-0.5,4,0.5853658536585366,-1.0,low,M,1.3333333333333333,-0.26849400404921353,1
820,B,Flight,0.0,5,-0.7317073170731707,-1.0,low,F,2.0,-0.8151378289985983,1
821,C,Flight,-0.5,1,-0.34146341463414637,0.0,medium,F,0.6666666666666666,-0.10870580906400872,1
822,F,Flight,-1.0,1,-1.4146341463414633,0.0,low,F,2.0,-0.7297928671546489,1
823,D,Flight,-0.5,3,0.6585365853658537,0.0,low,F,2.0,-0.08627939573275191,1
824,F,Flight,0.5,3,-0.43902439024390244,-1.0,medium,F,2.0,-0.7223173960442298,1
825,A,Flight,-0.5,1,-0.8780487804878049,-1.0,high,M,1.8333333333333333,-0.8475315371437471,1
826,B,Flight,0.0,5,-0.6585365853658537,0.0,low,M,2.0,-0.720137050303691,1
827,C,Flight,0.5,2,0.21951219512195122,-1.0,medium,M,2.0,-0.6151689767948918,1
828,F,Flight,0.0,2,-0.06097560975609756,-1.0,low,F,2.0,-0.5033483881015418,1
829,D,Flight,0.0,2,0.1951219512195122,0.0,medium,M,2.0,-0.17037844572496497,1
830,F,Flight,0.5,4,0.10975609756097561,0.0,low,F,2.0,-0.646316773088304,1
831,A,Flight,0.0,4,-0.15853658536585366,0.0,high,F,0.0,-0.46877433421585424,1
832,B,Flight,-0.5,5,0.12195121951219512,0.0,medium,F,2.0,-0.3775112910761564,1
833,C,Flight,-1.0,3,0.45121951219512196,0.0,low,F,-0.8333333333333334,-0.24855941442142968,1
834,F,Flight,-0.5,4,-0.8414634146341463,2.5,medium,M,2.0,-0.6852515184550693,1
835,D,Flight,0.5,4,0.6951219512195121,0.0,medium,F,1.5,-0.49400404921351815,1
836,F,Flight,-0.5,5,0.04878048780487805,1.0,medium,M,2.0,-0.34293723719046876,1
837,A,Flight,-0.5,4,0.18292682926829268,-1.0,low,M,2.0,-0.4737579816228002,1
838,B,Flight,0.5,2,0.7804878048780488,-1.0,low,F,1.6666666666666667,-0.5158075066189067,1
839,C,Flight,-1.0,4,-0.5609756097560976,0.0,low,F,1.3333333333333333,-0.704874630119919,1
840,F,Ship,0.5,2,-0.7682926829268293,2.5,medium,M,0.8333333333333334,-0.6942843793801589,1
841,D,Ship,-0.5,1,0.21951219512195122,0.0,low,M,0.3333333333333333,-0.3709702538545398,1
842,F,Ship,-0.5,2,-0.9024390243902439,-1.0,low,F,1.5,-0.7674817006696776,1
843,A,Ship,0.0,2,-0.8902439024390244,0.0,low,M,2.0,-0.7880392462233297,1
844,B,Ship,0.5,4,-0.3902439024390244,2.0,medium,F,2.0,-0.23391995016352593,1
845,C,Ship,0.0,2,-0.9146341463414634,2.0,low,F,2.0,-0.6765301354929139,1
846,F,Ship,0.5,2,-0.8414634146341463,2.0,medium,F,2.0,-0.7260551315994394,1
847,D,Ship,0.0,4,-0.9024390243902439,0.0,medium,M,0.6666666666666666,-0.6970876810465659,1
848,F,Ship,-0.5,4,0.6463414634146342,0.0,medium,F,2.0,-0.17442765924310855,1
849,A,Ship,-0.5,1,-0.2804878048780488,0.0,high,F,2.0,-0.6478741629029746,1
850,B,Ship,0.0,2,-0.9878048780487805,1.0,medium,F,2.0,-0.8559414421429684,1
851,C,Ship,0.0,2,-0.5365853658536586,-1.0,low,F,-1.0,-0.8419249338109329,1
852,F,Ship,0.0,5,-0.5365853658536586,-1.0,low,F,2.0,-0.8148263510356643,1
853,D,Ship,-0.5,2,-0.7926829268292683,1.0,medium,F,2.0,-0.7827441208534496,1
854,F,Ship,0.5,4,0.7926829268292683,-1.0,medium,F,-1.0,-0.06727923999377045,1
855,A,Ship,0.0,3,-1.1341463414634145,-1.0,medium,M,0.6666666666666666,-0.6986450708612366,1
856,B,Ship,-0.5,2,-0.9146341463414634,-1.0,low,M,2.0,-0.7419405077090796,1
857,C,Ship,-0.5,4,0.6219512195121951,-1.0,high,F,2.0,-0.5158075066189067,1
858,F,Ship,0.5,2,0.3048780487804878,2.0,medium,M,2.0,-0.5223485438405233,1
859,D,Ship,0.0,3,-1.1585365853658536,2.0,medium,M,-0.3333333333333333,-0.7188911384519545,1
860,F,Ship,0.0,1,0.6219512195121951,1.0,low,F,2.0,-0.07880392462233297,1
861,A,Ship,0.5,3,-0.8536585365853658,2.5,medium,F,2.0,-0.9780408036131444,1
862,B,Ship,-0.5,2,-0.8048780487804879,-1.0,low,F,2.0,-0.8135804391839278,1
863,C,Ship,0.5,4,0.6707317073170732,-1.0,medium,M,2.0,-0.4295281108861548,1
864,F,Ship,-1.0,3,-0.3170731707317073,0.0,medium,F,2.0,-0.29839588849088927,1
865,D,Ship,-0.5,4,-0.32926829268292684,-1.0,high,M,0.16666666666666666,-0.1320666562840679,1
866,F,Ship,1.0,1,-0.5609756097560976,2.0,high,F,2.0,-0.7936458495561439,1
867,A,Ship,0.0,1,-0.18292682926829268,-1.0,low,F,2.0,-0.24232985516274724,1
868,B,Ship,0.0,3,0.573170731707317,0.0,low,F,0.5,-0.41956081607226287,1
869,C,Ship,-0.5,1,0.04878048780487805,0.0,low,M,-0.5,-0.5746768416134559,1
870,F,Ship,-0.5,1,-0.21951219512195122,0.0,low,F,2.0,-0.38560971811244354,1
871,D,Ship,0.0,5,-0.8170731707317073,0.0,medium,F,2.0,-0.8347609406634481,1
872,F,Ship,0.0,2,-0.07317073170731707,0.0,high,M,1.6666666666666667,-0.42734776514561595,1
873,A,Ship,-0.5,1,-0.43902439024390244,2.0,low,F,1.3333333333333333,-0.9054664382494938,1
874,B,Ship,0.0,4,-0.2073170731707317,0.0,medium,M,2.0,-0.33296994237657684,1
875,C,Ship,-1.0,4,-0.0975609756097561,-1.0,low,F,2.0,-0.06042672480921975,1
876,F,Ship,0.0,1,0.0975609756097561,0.0,medium,M,2.0,-0.3086746612677153,1
877,D,Ship,-0.5,3,0.4024390243902439,-1.0,medium,M,2.0,-0.21429683849867623,1
878,F,Ship,0.0,1,0.0975609756097561,0.0,medium,M,2.0,-0.4880859679177698,1
879,A,Ship,1.0,1,-0.10975609756097561,2.0,low,M,1.1666666666666667,-0.29154337330633856,1
880,B,Ship,0.5,2,0.36585365853658536,0.0,low,M,0.16666666666666666,-0.18003426257592275,1
881,C,Ship,-1.0,4,-0.24390243902439024,2.5,medium,F,2.0,-0.11805014795203239,1
882,F,Ship,0.0,5,-0.2926829268292683,-1.0,low,M,2.0,-0.18719825572340756,1
883,D,Ship,-0.5,4,-0.5487804878048781,-1.0,low,M,1.6666666666666667,-0.9054664382494938,1
884,F,Ship,-0.5,2,0.45121951219512196,-1.0,low,F,-0.3333333333333333,-0.2199034418314904,1
885,A,Ship,-1.0,2,-0.6463414634146342,-1.0,medium,F,-1.0,-0.7808752530758449,1
886,B,Ship,-0.5,2,0.4634146341463415,1.0,low,M,2.0,-0.5594144214296839,1
887,C,Ship,0.0,2,0.6951219512195121,0.0,low,F,2.0,-0.45351191403208224,1
888,F,Ship,0.5,3,-0.7804878048780488,0.0,medium,M,2.0,-0.9225977262108706,1
889,D,Ship,-0.5,5,-0.024390243902439025,0.0,high,M,-0.16666666666666666,-0.6478741629029746,1
890,F,Ship,0.5,3,-0.1951219512195122,1.0,high,M,2.0,-0.23111664849711883,1
891,A,Ship,-0.5,4,0.6341463414634146,-1.0,high,F,2.0,-0.10932876498987697,1
892,B,Ship,-0.5,4,0.5,1.0,low,F,0.8333333333333334,-0.5865130042049524,1
893,C,Ship,0.0,1,-0.5853658536585366,0.0,high,F,-0.6666666666666666,-0.839744588070394,1
894,F,Ship,-0.5,2,0.21951219512195122,-1.0,low,F,2.0,-0.626070705497586,1
895,D,Ship,-0.5,5,-0.1951219512195122,-1.0,medium,F,2.0,-0.3532160099672948,1
896,F,Ship,0.0,3,-0.5365853658536586,0.0,low,F,2.0,-0.7976950630742875,1
897,A,Ship,0.0,2,-0.6341463414634146,-1.0,low,M,1.5,-0.9764834137984738,1
898,B,Ship,-0.5,4,-0.9634146341463414,0.0,low,M,2.0,-0.8631054352904532,1
899,C,Ship,-0.5,5,0.34146341463414637,0.0,medium,M,2.0,-0.12334527332191247,1
900,F,Ship,0.0,3,-0.0975609756097561,0.0,medium,F,2.0,-0.5924310855007008,1
901,D,Ship,0.5,5,0.47560975609756095,2.5,medium,M,2.0,-0.4740694595857343,1
902,F,Ship,0.5,3,-0.07317073170731707,0.0,medium,M,2.0,-0.08254166017754244,1
903,A,Ship,-0.5,3,0.43902439024390244,0.0,low,F,2.0,-0.21367388257280798,1
904,B,Ship,0.0,1,-0.8658536585365854,-1.0,medium,M,-0.6666666666666666,-0.6706120541971655,1
905,C,Ship,0.5,5,0.2682926829268293,0.0,medium,F,2.0,-0.24419872294035197,1
906,F,Ship,0.0,4,-0.8170731707317073,0.0,low,M,1.0,-0.9356798006541037,1
907,D,Ship,-1.0,5,-1.2317073170731707,2.0,low,M,2.0,-0.7821211649275813,1
908,F,Ship,0.5,1,-0.5975609756097561,-1.0,high,M,2.0,-0.9216632923220682,1
909,A,Ship,0.0,1,0.25609756097560976,1.0,low,M,2.0,-0.6488085967917769,1
910,B,Ship,0.0,5,-0.34146341463414637,2.5,low,F,2.0,-0.19560816072262888,1
911,C,Ship,0.0,2,0.7317073170731707,2.5,medium,F,2.0,-0.3737735555209469,1
912,F,Ship,-1.0,5,-0.6219512195121951,0.0,medium,F,2.0,-0.9562373462077558,1
913,D,Ship,0.0,4,-0.6463414634146342,0.0,low,F,-0.16666666666666666,-0.8606136115869802,1
914,F,Ship,0.0,4,0.6097560975609756,-1.0,low,M,2.0,-0.564709546799564,1
915,A,Ship,-0.5,1,0.5,-1.0,medium,M,2.0,-0.21491979442454445,1
916,B,Ship,0.0,1,0.5365853658536586,0.0,medium,M,-0.6666666666666666,-0.06883662980844105,1
917,C,Ship,0.5,5,0.573170731707317,2.5,medium,M,2.0,-0.6372839121632144,1
918,F,Ship,0.5,3,-0.3170731707317073,2.5,medium,M,-0.6666666666666666,-0.15947671702227068,1
919,D,Ship,-0.5,4,-0.3170731707317073,0.0,high,M,0.6666666666666666,-0.33546176608004985,1
920,F,Ship,-0.5,2,-0.6585365853658537,2.5,medium,M,2.0,-0.8101541815916524,1
921,A,Ship,-0.5,2,0.0,-1.0,low,M,2.0,-0.20121476405544308,1
922,B,Ship,0.0,4,-0.06097560975609756,2.5,medium,F,2.0,-0.2504282821990344,1
923,C,Ship,0.0,1,-0.07317073170731707,2.5,high,M,0.16666666666666666,-0.6092508954991435,1
924,F,Ship,-0.5,3,0.6219512195121951,1.0,low,M,2.0,-0.4958729169911229,1
925,D,Ship,0.0,1,-0.6463414634146342,-1.0,high,F,2.0,-0.671857966048902,1
926,F,Ship,0.5,3,0.036585365853658534,0.0,high,F,2.0,-0.3370191558947204,1
927,A,Ship,-0.5,1,-0.04878048780487805,-1.0,low,F,2.0,-0.5310699268026787,1
928,B,Ship,-0.5,3,-0.4268292682926829,-1.0,low,F,2.0,-0.7291699112287806,1
929,C,Ship,-0.5,2,-0.4146341463414634,1.0,medium,M,2.0,-0.9294502413954213,1
930,F,Ship,-0.5,3,-0.7439024390243902,2.0,low,F,0.8333333333333334,-0.6780875253075845,1
931,D,Ship,0.0,3,-0.6341463414634146,-1.0,low,M,-0.8333333333333334,-0.7584488397445881,1
932,F,Ship,-0.5,2,-0.9634146341463414,0.0,low,M,2.0,-0.7011368945647095,1
933,A,Road,-0.5,5,0.34146341463414637,0.0,medium,F,-0.6666666666666666,-0.5858900482790843,1
934,B,Road,0.0,4,-0.0975609756097561,0.0,medium,F,2.0,-0.41893786014639467,1
935,C,Road,0.5,1,0.47560975609756095,2.5,medium,M,0.8333333333333334,-0.5179878523594456,1
936,F,Road,0.5,2,-0.07317073170731707,0.0,medium,M,0.16666666666666666,-0.22021491979442454,1
937,D,Road,-0.5,2,0.43902439024390244,0.0,low,F,2.0,-0.10932876498987697,1
938,F,Road,0.0,5,-0.8658536585365854,-1.0,medium,F,2.0,-0.8687120386232674,1
939,A,Road,0.5,3,0.2682926829268293,0.0,medium,M,0.0,-0.17442765924310855,1
940,B,Road,0.0,1,-0.8170731707317073,0.0,low,F,1.3333333333333333,-0.6830711727145304,1
941,C,Road,-1.0,1,-1.2317073170731707,2.0,low,F,0.3333333333333333,-0.6827596947515964,1
942,F,Road,0.5,4,-0.5975609756097561,-1.0,high,M,2.0,-0.8307117271453045,1
943,D,Road,0.0,4,0.25609756097560976,1.0,low,M,2.0,-0.6631365830867466,1
944,F,Road,0.0,2,-0.34146341463414637,2.5,low,M,2.0,-0.13300109017287026,1
945,A,Road,0.0,5,0.7317073170731707,2.5,medium,F,-0.3333333333333333,-0.07444323314125526,1
946,B,Road,-1.0,2,-0.6219512195121951,0.0,medium,M,2.0,-0.8104656595545865,1
947,C,Road,0.0,2,-0.6463414634146342,0.0,low,F,2.0,-0.7257436536365052,1
948,F,Road,0.0,1,0.6097560975609756,-1.0,low,M,0.16666666666666666,-0.5335617505061517,1
949,D,Road,-0.5,3,0.5,-1.0,medium,M,-0.6666666666666666,-0.3909048434823236,1
950,F,Road,0.0,1,0.5365853658536586,0.0,medium,M,2.0,-0.5360535742096246,1
951,A,Road,0.5,2,0.573170731707317,2.5,medium,F,-1.0,-0.26195296682759694,1
952,B,Road,0.5,4,-0.3170731707317073,2.5,medium,F,2.0,-0.5242174116181281,1
953,C,Road,-0.5,5,-0.3170731707317073,0.0,high,F,0.3333333333333333,-0.29372371904687744,1
954,F,Road,-0.5,1,-0.6585365853658537,2.5,medium,F,2.0,-0.6843170845662669,1
955,D,Flight,-0.5,1,0.0,-1.0,low,F,2.0,-0.4451020090328609,1
956,F,Flight,0.0,5,-0.06097560975609756,2.5,medium,F,2.0,-0.374085033483881,1
957,A,Flight,0.0,1,-0.07317073170731707,2.5,high,F,2.0,-0.4594299953278306,1
958,B,Flight,-0.5,1,0.6219512195121951,1.0,low,M,2.0,-0.5918081295748325,1
959,C,Flight,0.0,1,-0.6463414634146342,-1.0,high,F,2.0,-0.9574832580594923,1
960,F,Flight,0.5,2,0.036585365853658534,0.0,high,M,2.0,-0.4824793645849556,1
961,D,Flight,-0.5,4,-0.04878048780487805,-1.0,low,F,2.0,-0.43856097181124437,1
962,F,Flight,-0.5,3,-0.4268292682926829,-1.0,low,F,2.0,-0.7425634636349479,1
963,A,Flight,-0.5,2,-0.4146341463414634,1.0,medium,M,2.0,-0.8783678554742252,1
964,B,Flight,0.0,5,-0.6829268292682927,2.0,medium,F,2.0,-0.6893007319732128,1
965,C,Flight,1.0,1,0.9390243902439024,2.0,medium,F,2.0,-0.76841613455848,1
966,F,Flight,0.5,2,0.2073170731707317,-1.0,medium,F,2.0,-0.07942688054820121,1
967,D,Flight,0.0,5,-0.6219512195121951,1.0,low,F,2.0,-0.8344494627005139,1
968,F,Flight,0.5,3,-0.8292682926829268,0.0,low,M,2.0,-0.9173026008409905,1
969,A,Flight,-1.0,5,0.7073170731707317,-1.0,low,M,2.0,-0.15916523905933655,1
970,B,Flight,-1.0,1,-1.1341463414634145,-1.0,medium,F,1.8333333333333333,-0.7195140943778228,1
971,C,Flight,1.0,2,-1.170731707317073,-1.0,low,M,2.0,-0.9764834137984738,1
972,F,Flight,-0.5,5,-0.5,-1.0,low,M,1.1666666666666667,-0.7821211649275813,1
973,D,Flight,0.0,5,0.35365853658536583,-1.0,low,M,2.0,-0.45569225977262107,1
974,F,Flight,0.5,4,0.18292682926829268,0.0,medium,M,2.0,-0.5120697710636972,1
975,A,Flight,0.5,3,-1.4390243902439024,1.0,medium,F,0.8333333333333334,-0.7768260395577012,1
976,B,Flight,0.5,5,0.4268292682926829,0.0,medium,M,2.0,-0.18408347609406633,1
977,C,Ship,-0.5,2,-0.5975609756097561,-1.0,low,F,2.0,-0.6799563930851892,1
978,F,Ship,0.0,5,0.10975609756097561,0.0,medium,F,2.0,-0.5363650521725588,1
979,D,Ship,-0.5,3,0.6463414634146342,-1.0,low,F,2.0,-0.3737735555209469,1
980,F,Ship,0.0,4,-0.9024390243902439,-1.0,low,F,2.0,-0.7220059180812958,1
981,A,Ship,0.0,4,-0.06097560975609756,0.0,low,F,2.0,-0.6460052951253699,1
982,B,Ship,-0.5,5,0.35365853658536583,0.0,medium,M,-0.5,-0.2990188444167575,1
983,C,Ship,-0.5,2,-0.47560975609756095,1.0,medium,F,1.6666666666666667,-0.8948761875097336,1
984,F,Ship,0.5,4,-0.9878048780487805,0.0,low,M,0.3333333333333333,-0.9649587291699112,1
985,D,Ship,-0.5,3,-0.573170731707317,0.0,medium,F,2.0,-0.9462700513938639,1
986,F,Ship,1.0,1,-0.5121951219512195,2.5,high,F,2.0,-0.9646472512069771,1
987,A,Ship,0.5,4,0.524390243902439,-1.0,low,M,2.0,-0.5893163058713596,1
988,B,Ship,-0.5,3,-0.14634146341463414,-1.0,medium,M,2.0,-0.09095156517676374,1
989,C,Ship,-0.5,1,0.10975609756097561,0.0,medium,F,2.0,-0.06447593832736334,1
990,F,Ship,-0.5,2,-0.3902439024390244,-1.0,low,F,2.0,-0.4849711882884286,1
991,D,Ship,-0.5,2,0.24390243902439024,0.0,medium,M,2.0,-0.4236100295904065,1
992,F,Ship,-0.5,5,-0.9024390243902439,0.0,low,F,2.0,-0.9699423765768572,1
993,A,Ship,0.0,3,-0.9512195121951219,0.0,medium,M,0.3333333333333333,-0.8101541815916524,1
994,B,Ship,0.0,3,-0.04878048780487805,0.0,medium,F,-0.16666666666666666,-0.4924466593988475,1
995,C,Ship,0.5,1,0.5487804878048781,0.0,high,F,2.0,-0.35072418626382185,1
996,F,Ship,0.0,2,-0.8902439024390244,-1.0,medium,M,2.0,-0.977106369724342,1
997,D,Ship,0.0,3,-0.7682926829268293,1.0,medium,M,1.0,-0.7992524528889581,1
998,F,Ship,-0.5,5,-0.6097560975609756,0.0,medium,F,2.0,-0.8490889269584176,1
999,A,Ship,-0.5,3,-0.8902439024390244,-1.0,medium,F,2.0,-0.7447438093754867,1
1000,B,Ship,-0.5,3,0.6951219512195121,-1.0,medium,M,1.3333333333333333,-0.1890671235010123,1
1001,C,Ship,0.0,3,-0.2804878048780488,1.0,low,F,1.3333333333333333,-0.4999221305092665,1
1002,F,Ship,-0.5,1,-0.4024390243902439,0.0,medium,M,2.0,-0.2750350412708301,1
1003,D,Ship,-0.5,3,0.32926829268292684,2.0,low,M,0.16666666666666666,-0.6126771530914188,1
1004,F,Ship,-0.5,3,0.4878048780487805,0.0,medium,M,-0.6666666666666666,-0.40865908736956863,1
1005,A,Ship,-0.5,2,-0.8292682926829268,2.5,medium,F,2.0,-0.9303846752842236,1
1006,B,Ship,0.5,1,0.6951219512195121,-1.0,high,M,2.0,-0.437626537922442,1
1007,C,Ship,-0.5,1,-0.35365853658536583,-1.0,medium,F,2.0,-0.41924933810932874,1
1008,F,Ship,0.0,5,-0.5365853658536586,0.0,low,F,0.3333333333333333,-0.9378601463946425,1
1009,D,Ship,0.0,1,0.6219512195121951,-1.0,medium,M,1.8333333333333333,-0.2560348855318486,1
1010,F,Ship,0.0,4,-0.8780487804878049,1.0,low,F,0.16666666666666666,-0.7388257280797383,1
1011,A,Ship,-1.0,5,0.17073170731707318,-1.0,low,F,2.0,-0.3504127083008877,1
1012,B,Ship,0.0,5,0.5853658536585366,1.0,low,M,1.5,-0.39806883662980846,1
1013,C,Ship,-0.5,3,-0.10975609756097561,-1.0,medium,F,2.0,-0.5363650521725588,1
1014,F,Ship,0.0,1,-0.43902439024390244,-1.0,high,M,2.0,-0.8680890826973992,1
1015,D,Ship,-1.0,2,-0.7439024390243902,-1.0,low,M,2.0,-0.9403519700981156,1
1016,F,Ship,-0.5,4,-0.34146341463414637,-1.0,low,M,2.0,-0.21865752997975393,1
1017,A,Ship,0.0,1,-0.573170731707317,0.0,high,F,2.0,-0.8553184862171002,1
1018,B,Ship,-0.5,3,-0.8048780487804879,-1.0,low,M,2.0,-0.6849400404921352,1
1019,C,Ship,-0.5,2,-0.573170731707317,-1.0,low,M,-0.8333333333333334,-0.9777293256502102,1
1020,F,Ship,-0.5,2,0.573170731707317,2.0,medium,M,2.0,-0.5173648964335773,1
1021,D,Ship,-0.5,4,-0.5853658536585366,0.0,medium,M,2.0,-0.9512536988008098,1
1022,F,Ship,-0.5,1,0.14634146341463414,-1.0,low,M,1.8333333333333333,-0.5700046721694441,1
1023,A,Ship,-0.5,4,0.5609756097560976,0.0,low,F,2.0,-0.6684317084566267,1
1024,B,Ship,0.5,1,0.3902439024390244,0.0,medium,F,2.0,-0.04859056221772309,1
1025,C,Ship,-0.5,2,0.08536585365853659,0.0,low,F,2.0,-0.14421429683849868,1
1026,F,Ship,0.5,4,-0.2804878048780488,1.0,medium,M,2.0,-0.6572185017909983,1
1027,D,Ship,-0.5,1,-0.926829268292683,2.0,medium,F,0.16666666666666666,-0.8721382962155427,1
1028,F,Ship,-0.5,1,-0.8292682926829268,0.0,medium,M,1.5,-0.7584488397445881,1
1029,A,Ship,-0.5,3,-0.25609756097560976,0.0,medium,M,0.6666666666666666,-0.29933032237969165,1
1030,B,Ship,-0.5,1,0.18292682926829268,-1.0,medium,F,0.8333333333333334,-0.32331412552561906,1
1031,C,Ship,0.0,1,0.3048780487804878,-1.0,high,M,1.5,-0.5123812490266314,1
1032,F,Ship,1.0,2,-1.353658536585366,1.0,medium,M,2.0,-0.951876654726678,1
1033,D,Ship,0.5,4,0.4878048780487805,2.0,low,F,2.0,-0.6572185017909983,1
1034,F,Ship,-1.0,2,-0.1951219512195122,-1.0,low,M,0.6666666666666666,-0.14421429683849868,1
1035,A,Ship,-0.5,3,-0.07317073170731707,0.0,medium,M,2.0,-0.1140009344338888,1
1036,B,Ship,-0.5,5,0.47560975609756095,-1.0,medium,M,1.6666666666666667,-0.605513159943934,1
1037,C,Ship,0.0,3,0.573170731707317,-1.0,high,M,2.0,-0.564709546799564,1
1038,F,Ship,-0.5,1,-0.7073170731707317,0.0,medium,M,2.0,-0.9020401806572185,1
1039,D,Ship,0.0,3,-1.4268292682926829,-1.0,low,M,2.0,-0.7945802834449462,1
1040,F,Ship,-1.0,5,0.7439024390243902,-1.0,low,M,2.0,-0.49929917458339823,1
1041,A,Ship,-1.0,1,-0.3048780487804878,-1.0,high,M,2.0,-0.5357420962466906,1
1042,B,Ship,-0.5,1,0.2682926829268293,0.0,medium,M,2.0,-0.26755957016041115,1
1043,C,Ship,0.5,1,-0.5365853658536586,0.0,medium,F,2.0,-0.7058090640087213,1
1044,F,Ship,0.0,2,0.45121951219512196,-1.0,low,M,2.0,-0.4597414732907647,1
1045,D,Ship,-0.5,3,-0.10975609756097561,-1.0,medium,F,2.0,-0.6111197632767482,1
1046,F,Ship,0.0,5,-0.9634146341463414,0.0,medium,F,2.0,-0.7491045008565644,1
1047,A,Ship,-0.5,3,0.2073170731707317,-1.0,medium,F,2.0,-0.6142345429060894,1
1048,B,Ship,-0.5,4,0.524390243902439,0.0,medium,M,2.0,-0.3762653792244199,1
1049,C,Ship,0.5,2,-0.6341463414634146,0.0,high,M,2.0,-0.908269739915901,1
1050,F,Ship,1.0,5,0.2804878048780488,2.0,high,F,2.0,-0.49088926958417695,1
1051,D,Ship,-0.5,4,-0.975609756097561,1.0,medium,M,2.0,-0.7045631521569848,1
1052,F,Ship,-1.0,1,-0.6219512195121951,0.0,medium,F,2.0,-0.9437782276903909,1
1053,A,Ship,0.5,5,0.6097560975609756,0.0,medium,F,2.0,-0.6634480610496807,1
1054,B,Ship,0.5,2,-0.5,1.0,low,M,2.0,-0.770907958261953,1
1055,C,Ship,-1.0,4,-0.2804878048780488,0.0,low,F,2.0,-0.4868400560660333,1
1056,F,Ship,-0.5,3,-0.7560975609756098,0.0,medium,M,-0.3333333333333333,-0.8609250895499143,1
1057,D,Ship,-0.5,4,0.7073170731707317,1.0,low,F,2.0,-0.6544152001245912,1
1058,F,Ship,0.0,2,-0.1951219512195122,-1.0,low,M,2.0,-0.2432642890515496,1
1059,A,Ship,0.0,3,0.5609756097560976,1.0,medium,M,2.0,-0.1498209001713129,1
1060,B,Ship,0.0,3,-0.6829268292682927,2.5,medium,M,2.0,-0.831957638997041,1
1061,C,Ship,0.5,3,0.4634146341463415,1.0,medium,M,2.0,-0.1308207444323314,1
1062,F,Ship,0.0,2,-0.18292682926829268,0.0,low,M,2.0,-0.5229714997663916,1
1063,D,Ship,0.0,2,0.7073170731707317,1.0,low,M,2.0,-0.5737424077246535,1
1064,F,Ship,-0.5,4,-0.06097560975609756,0.0,low,M,2.0,-0.6023983803145927,1
1065,A,Ship,-0.5,2,-0.8170731707317073,1.0,low,M,1.0,-0.7762030836318331,1
1066,B,Ship,0.0,2,-0.5853658536585366,1.0,low,F,2.0,-0.7444323314125526,1
1067,C,Ship,-0.5,4,-0.5975609756097561,-1.0,low,M,2.0,-0.760940663448061,1
1068,F,Ship,0.0,5,-0.6341463414634146,-1.0,medium,F,2.0,-0.7581373617816539,1
1069,D,Ship,-0.5,3,0.5,0.0,medium,M,2.0,-0.11991901572963713,1
1070,F,Road,0.5,5,-0.4268292682926829,2.0,low,M,2.0,-0.84472823547734,1
1071,A,Road,-0.5,4,0.43902439024390244,-1.0,high,M,2.0,-0.2934122410839433,1
1072,B,Road,-0.5,5,0.45121951219512196,-1.0,low,F,2.0,-0.06634480610496807,1
1073,C,Road,0.0,4,-0.1951219512195122,-1.0,low,F,-0.3333333333333333,-0.5852670923532161,1
1074,F,Road,-0.5,1,-0.8048780487804879,-1.0,medium,M,2.0,-0.964335773244043,1
1075,D,Road,0.0,5,0.6585365853658537,0.0,medium,F,-0.6666666666666666,-0.4332658464413643,1
1076,F,Road,0.5,2,0.3048780487804878,0.0,low,F,2.0,-0.14826351035664226,1
1077,A,Road,-0.5,4,-0.23170731707317074,0.0,medium,M,0.5,-0.6628251051238125,1
1078,B,Road,0.0,3,0.4634146341463415,-1.0,medium,F,2.0,-0.46441364273477653,1
1079,C,Road,-0.5,5,0.7073170731707317,0.0,medium,M,2.0,-0.11493536832269118,1
1080,F,Road,-1.0,4,-0.8902439024390244,0.0,medium,F,2.0,-0.7852359445569226,1
1081,D,Road,-0.5,1,0.12195121951219512,0.0,low,F,2.0,-0.16352593054041425,1
1082,F,Road,1.0,3,0.6829268292682927,0.0,low,F,2.0,-0.27970721071484195,1
1083,A,Road,1.0,3,0.2682926829268293,0.0,medium,M,-0.16666666666666666,-0.47033172403052487,1
1084,B,Road,-0.5,1,0.15853658536585366,0.0,medium,F,2.0,-0.19841146238903598,1
1085,C,Road,-0.5,4,0.5853658536585366,0.0,low,M,0.0,-0.5372994860613611,1
1086,F,Road,-0.5,1,0.17073170731707318,-1.0,low,M,2.0,-0.5893163058713596,1
